English,Bangla
can you wait a minute?,ত ম ক এক ম ন ট র জন য অপ ক ষ করত প রব ?
can you wait a minute?,আপন ক এক ম ন ট র জন য অপ ক ষ করত প রব ন?
coffee keeps me awake ,কফ আম ক জ গ য র খ ।
do turtles have teeth?,কচ ছপ র ক দ ত আছ ?
do you have a bicycle?,ত ম র ক স ইক ল আছ ?
do you have a bicycle?,আপন র ক স ইক ল আছ ?
do you have a vacancy?,আপন দ র ক ঘর খ ল আছ ?
do you need a deposit?,ক ন ট ক জম র খত হব ক ?
do you understand now?,আপন ক এখন ব ঝত প রছ ন?
do you understand now?,ত ম ক এখন ব ঝত প রছ ?
does tom need my help?,টম র ক আম র স হ য য দরক র?
don t delude yourself ,ন জ ক ব ভ র ন ত ক র ন ।
don t delude yourself ,ন জ ক ব ভ র ন ত করব ন ন ।
don t you forget that ,ওট একদম ভ লব ন ।
don t you forget that ,ওট একদম ভ লব ন ন ।
don t you have a bike?,ত ম র ক ব ইক ন ই?
don t you have a bike?,আপন র ক ব ইক ন ই?
eat anything you like ,ত ম দ র য ক ছ পছন দ হয ত ই খ ও।
eat anything you like ,ত ম র য ক ছ পছন দ হয ত ই খ ও।
eat anything you like ,আপন দ র য ক ছ পছন দ হয ত ই খ ন।
eat anything you like ,আপন র য ক ছ পছন দ হয ত ই খ ন।
eat whatever you like ,আপন র য পছন দ হয ত ই খ ন।
eat whatever you like ,আপন দ র য পছন দ হয ত ই খ ন।
eat whatever you like ,ত ম র য পছন দ হয ত ই খ ও।
eat whatever you like ,ত ম দ র য পছন দ হয ত ই খ ও।
eat whatever you want ,আপন র য চ ই ত ই খ ন।
eat whatever you want ,আপন দ র য চ ই ত ই খ ন।
eat whatever you want ,ত ম র য চ ই ত ই খ ও।
eat whatever you want ,ত ম দ র য চ ই ত ই খ ও।
everybody ran outside ,সব ই ব ইর দ ড গ ল ন।
everyone else laughed ,ব ক সব ই হ সল ।
everyone knows it now ,সব ই এখন এট জ ন ।
everyone knows it now ,সকল ই এখন এট জ ন ।
forty people attended ,চল ল শ জন উপস থ ত ছ ল ন।
he acted as our guide ,উন আম দ র পথপ রদর শক হ স ব ক জ করল ন।
he can speak japanese ,ইন জ প ন বলত প র ন।
he can speak japanese ,উন জ প ন বলত প র ন।
he can speak japanese ,ত ন জ প ন বলত প র ন।
he can speak japanese ,স জ প ন বলত প র ।
he hasn t arrived yet ,উন এখন এস প ছ নন ।
he hasn t arrived yet ,ত ন এখন এস প ছ নন ।
he hasn t arrived yet ,স এখন এস প ছ য ন ।
he hasn t arrived yet ,ও এখন এস প ছ য ন ।
he likes italian food ,স ইট ল য ন খ ব র পছন দ কর ।
he looks like a horse ,স দ খত ঘ ড র মত ।
he was 19 at the time ,তখন ত র বয স ছ ল ।
he went back to japan ,ত ন জ প ন ফ রত গ য ছ ন।
he s eating lunch now ,উন এখন ল ঞ চ করছ ন।
he s eating lunch now ,ত ন এখন ল ঞ চ করছ ন।
he s eating lunch now ,স এখন ল ঞ চ করছ ।
he s eating lunch now ,ও এখন ল ঞ চ করছ ।
honey comes from bees ,ম ম ছ থ ক মধ আস ।
how high can you jump?,ত ম কত উ চ ত ল ফ ত প র ?
how long did you stay?,আপন কতক ষণ ছ ল ন?
how long did you stay?,ত ম কতক ষণ ছ ল ?
how long did you stay?,ত ই কতক ষণ ছ ল স?
how much do i owe you?,আপন আম র ক ছ থ ক কত প ব ন?
how much does it cost?,এর দ ম কত?
how much does it cost?,এট র দ ম কত?
i am 30 years old now ,আম র এখন ত র শ বছর বয স।
i am here on business ,আম এখ ন ব যবস র জন য এস ছ ।
i bought it last week ,আম গত সপ ত হ এট ক ন ছ ল ম।
i can t stop coughing ,আম ক শ থ ম ত ই প রছ ন ।
i decided to call tom ,আম টমক ফ ন কর র স দ ধ ন ত ন ল ম।
i didn t eat anything ,আম ক ছ খ ইন ।
i don t get it either ,আম ও ওট ব ঝ ন ।
i don t study physics ,আম পদ র থব দ য পড ন ।
i found the book easy ,আমর বইট সহজ বল মন হয ছ ল।
i have a lot of money ,আম র অন ক ট ক আছ ।
i have a slight fever ,আম র অল প জ বর হয ছ ।
i have class tomorrow ,আম র ক ল ক ল স আছ ।
i have to go to sleep ,আম ক ঘ ম ত য ত হব ।
i have to take a bath ,আম ক গ সল করত হব ।
i heard you screaming ,আম ত ম ক চ ক র করত শ নল ম।
i heard you screaming ,আম আপন ক চ ক র করত শ নল ম।
i heard you screaming ,আম ত ম ক চ চ ত শ নল ম।
i know what tom meant ,টম ক ব ঝ য ছ আম জ ন ।
i live on park street ,আম প র ক স ট র ট থ ক ।
i never liked biology ,আম র জ বনব জ ঞ ন কখনই ভ ল ল গ ন ।
i promise i won t cry ,কথ দ চ ছ আম ক দব ন ।
i respect the elderly ,আম বড দ র শ রদ ধ কর ।
i signed the contract ,আম চ ক ত ট সই করল ম।
i used to play tennis ,আম ট ন স খ লত ম।
i usually eat outside ,আম স ধ রণত ব ইর খ ই।
i want to sing a song ,আম গ ন গ ত চ ই।
i want to visit korea ,আম ক র য য ত চ ই।
i was born in october ,আম অক ট বর জন ম ছ ।
i was in the hospital ,আম হ সপ ত ল ছ ল ম।
i will make her happy ,আম ত ক খ শ করব ।
i will return at 6 30 ,আম এ ফ র আসব ।
i wish i hadn t cried ,আম যদ ন ক দত ম।
i won t be there long ,আম স খ ন ব শ ক ষণ থ কব ন ।
i ll see you tomorrow ,আগ ম ক ল দ খ হব ।
i m a biology student ,আম জ বব জ ঞ ন র শ ক ষ র থ ।
i m from tokyo japan ,আম জ প ন র ট ক ও থ ক এস ছ ।
i m not proud of that ,আম ওত গর ব ত নই।
i m not proud of that ,আম ত ত গর ব ত নই।
i m not proud of this ,আম এট য গর ব ত নই।
i m not young anymore ,আম আর তর ণ ন ই।
i m reading your book ,আম ত ম র বইট পড ছ ।
i m reading your book ,আম আপন র বইট পড ছ ।
i m still your friend ,আম এখন আপন র বন ধ আছ ।
i m still your friend ,আম এখন ত র বন ধ আছ ।
i m still your friend ,আম এখন ত ম র বন ধ আছ ।
i m still your friend ,আম এখন আপন দ র বন ধ আছ ।
i m still your friend ,আম এখন ত ম দ র বন ধ আছ ।
i m still your friend ,আম এখন ত দ র বন ধ আছ ।
i ve finished my work ,আম আম র ক জ শ ষ কর ছ ।
i ve got tuberculosis ,আম র যক ষ ম হয ছ ।
i ve lost my passport ,আম আম র প সপ র ট হ র য ফ ল ছ ।
is mary your daughter?,ম র ক আপন র ম য ?
is your headache gone?,ত ম র ম থ ব য থ চল গ ছ ?
is your job dangerous?,আপন র ক জ ক ব পজ জনক?
is your watch correct?,আপন র ঘড ঠ ক আছ ?
is your watch correct?,ত ম র ঘড ঠ ক আছ ?
it is true in a sense ,এক অর থ এট সত য।
it was cold yesterday ,গতক ল ঠ ণ ড ছ ল।
it wasn t an accident ,এট ক ন দ র ঘটন ছ ল ন ।
it s a quarter to two ,প ন দ ট ব জ ।
it s driving me crazy ,এট আম ক প গল কর দ চ ছ ।
it s probably a virus ,এট সম ভবত ভ ইর স।
it s what i m used to ,আম এত ই অভ যস ত।
just try to keep calm ,একট শ ন ত থ ক র চ ষ ট কর ।
just try to keep calm ,একট শ ন ত থ ক র চ ষ ট কর ন।
just try to keep calm ,একট শ ন ত থ ক র চ ষ ট কর।
keep tom away from me ,টমক আম র থ ক দ র র খ ন।
keep tom away from me ,টমক আম র থ ক দ র র খ ।
like father like son ,য মন ব প ত মন ছ ল ।
make yourself at home ,এট ন জ র ঘর মন কর ।
make yourself at home ,এট ন জ র ঘর মন কর ন।
may i open the window?,আম ক জ নল ট খ লত প র ?
my baggage is missing ,আম র ম লপত র প ওয য চ ছ ন ।
my father is a doctor ,আম র ব ব একজন ড ক ত র।
my father loves pizza ,আম র ব ব প জ জ ভ লব স ।
my father loves pizza ,আম র ব ব র প জ জ ভ ল ল গ ।
my mother loves music ,আম র ম সঙ গ ত ভ লব স ।
my mother loves music ,আম র ম য র সঙ গ ত ভ ল ল গ ।
nice to see you again ,আপন ক আব র দ খ ভ ল ল গল ।
nice to see you again ,ত ম ক আব র দ খ ভ ল ল গল ।
nice to see you again ,ত ম দ রক আব র দ খ ভ ল ল গল ।
nice to see you again ,আপন দ রক আব র দ খ ভ ল ল গল ।
nobody here does that ,এখ ন ক উই ওরকম কর ন ।
nobody understands me ,আম ক ক উ ব ঝ ন ।
nothing really worked ,ক ছ ই ক জ কর ।
please close the door ,দরজ বন ধ কর ন।
please heat the water ,দয কর জল গরম কর ন।
please wake me at six ,আম ক ছট র সময জ গ য দ ব ন।
she s my older sister ,ও আম র দ দ ।
she s younger than me ,ও আম র থ ক ছ ট।
she s younger than me ,স আম র থ ক ছ ট।
she s younger than me ,এ আম র থ ক ছ ট।
sit wherever you like ,ত ম র য খ ন ইচ ছ হয বস ।
sit wherever you like ,আপন র য খ ন ইচ ছ হয বস ন।
tell tom i ll be back ,টমক বল ন য আম ফ র আসব ।
tell me what happened ,আম ক বল ন ক ঘট ছ ল ।
tell me what happened ,আম ক বল ক ঘট ছ ল ।
